,decile1b,decile3,decile1,lsat,ugpa,DOB_yr,fam_inc,tier,grad,fulltime,race1_asian,race1_black,race1_hisp,race1_other,race1_white,gender
5291,4.0,7.0,4.0,39.0,3.3,67.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
811,10.0,10.0,10.0,44.0,3.5,65.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6624,6.0,3.0,6.0,40.0,3.2,57.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
15732,6.0,4.0,6.0,31.0,2.7,63.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6295,7.0,5.0,7.0,28.7,3.2,66.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
17715,5.5284814690188915,5.525933759553911,5.708233638282899,39.0,3.1,65.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
9131,2.0,1.0,3.0,28.0,3.6,65.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
16356,7.0,5.0,7.0,44.0,3.1,66.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
10837,6.0,8.0,6.0,36.0,2.9,64.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12800,8.0,8.0,8.0,42.0,2.8,61.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
6771,3.0,3.0,3.0,33.0,3.2,64.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
20260,1.0,1.0,2.0,26.0,2.6,69.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
11793,1.0,1.0,2.0,38.0,2.8,67.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
995,2.0,3.0,2.0,45.0,3.5,59.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
7275,5.5284814690188915,5.525933759553911,5.708233638282899,42.0,3.2,69.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12253,6.0,9.0,6.0,32.5,2.8,51.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13714,9.0,9.0,10.0,42.0,3.7,69.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
17542,5.5284814690188915,5.525933759553911,10.0,47.0,3.1,65.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
20285,9.0,9.0,10.0,43.0,2.6,65.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
15095,8.0,8.0,8.0,41.0,3.7,68.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4794,8.0,7.0,8.0,47.0,3.3,69.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
18953,9.0,9.0,9.0,43.0,3.0,51.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1470,1.0,1.0,2.0,41.0,3.5,63.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
18384,5.5284814690188915,5.525933759553911,5.708233638282899,34.0,3.0,69.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
15312,4.0,5.0,5.0,39.0,2.7,68.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
5027,5.0,5.0,6.0,33.0,3.3,68.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
16532,8.0,3.0,8.0,39.0,3.1,67.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
4808,1.0,5.0,2.0,34.0,3.3,69.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
19786,5.0,4.0,5.0,45.0,2.6,67.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
11856,4.0,3.0,4.0,40.0,2.8,62.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1173,5.0,2.0,5.0,29.0,3.5,64.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
15445,1.0,1.0,1.0,33.0,2.7,68.0,4.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
14761,6.0,5.0,6.0,41.0,3.7,67.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
6016,4.0,3.0,4.0,44.0,2.2,59.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
5762,1.0,2.0,1.0,35.0,3.3,67.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3263,6.0,8.0,6.0,42.0,3.4,69.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
7588,9.0,10.0,9.0,46.0,3.2,67.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
4276,5.5284814690188915,5.525933759553911,1.0,35.0,3.3,69.0,4.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7575,2.0,3.0,2.0,33.0,3.2,69.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1001,3.0,3.0,3.0,40.0,3.5,68.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
479,2.0,2.0,2.0,32.0,3.5,58.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1050,9.0,9.0,9.0,32.0,3.5,69.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
9283,1.0,1.0,1.0,31.5,3.6,69.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3253,7.0,8.0,7.0,40.0,3.4,63.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
12239,8.0,9.0,8.0,45.0,2.8,65.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
16157,4.0,6.0,4.0,35.0,3.1,69.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
13225,2.0,4.0,2.0,40.0,3.9,68.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1418,9.0,10.0,10.0,37.0,3.5,67.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
47,7.0,10.0,8.0,30.0,3.5,69.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
14801,4.0,6.0,4.0,45.0,3.7,68.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
22105,3.0,5.0,4.0,37.0,2.3,34.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
15383,1.0,1.0,1.0,32.0,2.7,68.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
2782,5.0,4.0,5.0,37.0,3.4,69.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5745,8.0,9.0,8.0,34.0,3.3,68.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
21097,5.0,4.0,5.0,41.0,3.8,69.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
9081,1.0,1.0,1.0,38.0,3.6,68.0,4.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
6418,8.0,3.0,8.0,29.0,3.2,69.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
21193,3.0,6.0,4.0,35.0,3.8,68.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
8603,3.0,4.0,3.0,39.0,3.6,69.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
4904,4.0,3.0,4.0,46.0,3.3,64.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
21881,1.0,1.0,1.0,22.0,2.5,67.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
12184,9.0,8.0,9.0,33.0,2.8,68.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
223,5.5284814690188915,5.525933759553911,5.708233638282899,36.0,3.5,68.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12781,7.0,7.0,7.0,34.0,2.8,67.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4402,5.0,3.0,6.0,35.0,3.3,63.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4293,2.0,4.0,2.0,35.0,3.3,69.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4148,6.0,7.0,6.0,33.0,3.3,70.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
12384,6.0,5.0,6.0,41.0,2.8,64.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
8570,5.0,7.0,5.0,33.0,3.6,69.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
16146,1.0,1.0,2.0,34.5,3.1,68.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
5063,8.0,9.0,9.0,41.0,3.3,69.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2162,5.0,2.0,5.0,34.0,3.4,69.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
21946,2.0,3.0,3.0,40.0,2.5,69.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
127,4.0,4.0,4.0,45.0,3.5,68.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
8999,3.0,4.0,3.0,37.0,3.6,65.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
12594,1.0,1.0,1.0,24.0,2.8,63.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
22196,3.0,1.0,4.0,36.0,2.3,66.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
7603,3.0,3.0,3.0,34.0,3.2,69.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
10551,10.0,9.0,10.0,46.0,2.9,66.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
19762,1.0,2.0,2.0,31.0,2.6,58.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
14665,10.0,10.0,10.0,44.0,3.7,67.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
11663,1.0,1.0,1.0,29.0,2.9,67.0,3.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
12758,10.0,9.0,10.0,42.0,2.8,55.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
15070,9.0,9.0,9.0,34.0,3.7,69.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6088,5.5284814690188915,5.525933759553911,5.708233638282899,33.0,2.2,69.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
6944,4.0,6.0,4.0,36.0,3.2,69.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
4217,1.0,1.0,2.0,38.0,3.3,65.44071208122736,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
4707,5.0,5.0,6.0,33.5,3.3,69.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3571,10.0,10.0,10.0,40.0,3.4,69.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
240,2.0,2.0,2.0,36.0,3.5,58.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5768,5.0,3.0,5.0,32.5,3.3,69.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
7308,1.0,3.0,1.0,39.0,3.2,69.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
12286,3.0,4.0,4.0,36.0,2.8,69.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
21501,3.0,4.0,4.0,33.0,2.5,66.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
4011,4.0,5.0,4.0,32.0,3.3,63.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
18948,3.0,2.0,3.0,26.0,3.0,69.0,3.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1648,4.0,6.0,5.0,36.0,3.5,69.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
15772,10.0,10.0,10.0,43.0,2.7,67.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2147,2.0,4.0,2.0,36.0,3.4,69.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
7170,5.0,7.0,5.0,34.0,3.2,68.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
17280,3.0,2.0,3.0,35.0,3.1,63.0,3.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
13475,4.0,5.0,5.0,34.0,3.9,69.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
17258,4.0,5.0,4.0,34.0,3.1,59.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
21433,8.0,8.0,8.0,34.0,3.8,69.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
16518,3.0,4.0,3.0,39.0,3.1,68.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
5750,7.0,8.0,7.0,36.0,3.3,69.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
11291,3.0,3.0,4.0,28.0,2.9,68.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
20246,5.0,2.0,5.0,44.0,2.6,63.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
15690,1.0,1.0,1.0,32.0,2.7,65.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
3464,8.0,8.0,8.0,43.0,3.4,67.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
4907,9.0,8.0,9.0,42.0,3.3,65.0,3.466045754589022,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12935,7.0,8.0,7.0,37.0,3.9,67.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
9888,10.0,10.0,10.0,38.0,3.6,69.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
7473,6.0,4.0,6.0,38.0,3.2,68.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
8094,9.0,10.0,9.0,44.0,3.2,68.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
5880,5.0,6.0,5.0,42.0,3.3,69.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
8904,1.0,8.0,1.0,41.0,3.6,65.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1954,5.5284814690188915,5.525933759553911,8.0,38.0,3.4,66.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
5494,7.0,6.0,8.0,39.0,3.3,68.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
21997,5.5284814690188915,5.525933759553911,5.708233638282899,28.0,2.3,60.0,3.0,3.768813589709112,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
2060,4.0,5.0,4.0,41.0,3.4,57.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
19981,10.0,10.0,10.0,45.0,2.6,66.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1997,5.5284814690188915,5.525933759553911,8.0,47.0,3.4,67.0,4.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
22041,5.5284814690188915,5.525933759553911,5.708233638282899,40.0,2.3,65.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
19830,9.0,7.0,9.0,39.0,2.6,49.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3855,5.0,6.0,5.0,46.0,3.4,69.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
18343,5.0,6.0,5.0,37.0,3.0,69.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2748,3.0,1.0,3.0,35.5,3.4,68.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
22307,8.0,8.0,9.0,25.5,2.1,66.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
799,3.0,3.0,3.0,33.0,3.5,53.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3474,3.0,5.0,3.0,39.0,3.4,67.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
15286,8.0,8.0,8.0,36.0,2.7,68.0,4.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1765,10.0,10.0,10.0,39.0,3.5,60.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
11135,9.0,10.0,9.0,37.0,2.9,68.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
17232,5.5284814690188915,5.525933759553911,5.708233638282899,45.0,3.1,69.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
16236,2.0,2.0,3.0,36.0,3.1,67.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
7508,2.0,2.0,3.0,28.0,3.2,69.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
11832,2.0,1.0,2.0,34.0,2.8,68.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13498,5.5284814690188915,5.525933759553911,5.708233638282899,42.0,3.9,68.0,3.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13933,10.0,10.0,10.0,45.0,3.7,65.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
14407,6.0,8.0,6.0,40.0,3.7,68.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4861,5.0,4.0,5.0,35.0,3.3,69.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5265,2.0,3.0,3.0,41.0,3.3,38.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
8328,1.0,4.0,1.0,25.0,2.4,60.0,4.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
10519,2.0,4.0,3.0,36.0,2.9,69.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
22371,9.0,4.0,9.0,40.5,2.1,66.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
17791,2.0,2.0,2.0,23.5,3.1,62.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
18255,3.0,2.0,3.0,37.0,3.0,69.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1977,10.0,10.0,10.0,43.0,3.4,67.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4750,2.0,1.0,2.0,35.0,3.3,68.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
14146,10.0,9.0,10.0,45.0,3.7,66.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1658,9.0,9.0,9.0,42.0,3.5,69.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2384,3.0,4.0,3.0,46.0,3.4,69.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1274,1.0,1.0,1.0,21.0,3.5,67.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3640,6.0,8.0,6.0,43.0,3.4,55.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
16034,5.5284814690188915,5.525933759553911,5.708233638282899,41.0,3.1,67.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
7670,3.0,2.0,3.0,39.0,3.2,69.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12378,5.5284814690188915,5.525933759553911,3.0,39.0,2.8,63.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
21345,3.0,3.0,4.0,31.0,3.8,66.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
20062,8.0,7.0,8.0,39.0,2.6,65.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
16352,2.0,1.0,3.0,34.0,3.1,70.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
18912,1.0,2.0,2.0,28.5,3.0,65.44071208122736,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1426,4.0,6.0,4.0,45.0,3.5,69.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
21560,4.0,3.0,5.0,40.0,2.5,68.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
17918,7.0,7.0,7.0,35.0,3.1,66.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
4266,3.0,2.0,4.0,32.5,3.3,67.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
15704,2.0,4.0,3.0,40.0,2.7,55.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
18062,5.0,4.0,5.0,35.0,3.0,68.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
16066,6.0,5.0,6.0,41.0,3.1,56.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3974,7.0,5.0,7.0,46.0,3.4,68.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
18999,6.0,4.0,6.0,35.5,3.0,65.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
16830,4.0,6.0,4.0,40.0,3.1,67.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4382,5.5284814690188915,5.525933759553911,5.708233638282899,39.0,3.3,57.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
12861,7.0,9.0,7.0,41.0,3.9,64.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
15388,10.0,10.0,10.0,33.0,2.7,47.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
18574,4.0,3.0,5.0,28.0,3.0,56.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
22248,1.0,1.0,1.0,37.0,2.0,62.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
14872,9.0,9.0,9.0,31.0,3.7,69.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
12721,5.0,3.0,5.0,38.0,2.8,69.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
19167,1.0,2.0,2.0,38.0,3.0,69.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2711,4.0,5.0,4.0,35.0,3.4,68.0,4.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
18296,6.0,7.0,6.0,36.0,3.0,68.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
3459,8.0,9.0,9.0,34.0,3.4,69.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
19749,7.0,7.0,7.0,40.0,2.6,67.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
7994,5.0,4.0,5.0,47.0,3.2,69.0,3.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
