decile1b,decile3,decile1,lsat,ugpa,DOB_yr,fam_inc,tier,race1_asian,race1_black,race1_hisp,race1_other,race1_white,grad,fulltime,gender,pass_bar
4.0,6.0,4.0,39.0,3.5,56.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
8.0,6.0,8.0,44.0,3.5,69.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
3.0,3.0,4.0,32.0,3.5,69.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
9.0,10.0,9.0,35.0,3.5,68.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
5.5284814690188915,5.525933759553911,5.0,39.5,3.5,69.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
7.0,7.0,7.0,42.0,3.5,69.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
5.0,3.0,5.0,33.0,3.5,69.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1
4.0,4.0,4.0,26.0,3.5,68.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
2.0,2.0,2.0,39.0,3.5,49.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
10.0,10.0,10.0,35.5,3.5,69.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
8.0,6.0,8.0,33.0,3.5,68.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
5.5284814690188915,5.525933759553911,4.0,41.0,3.5,68.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
10.0,10.0,10.0,42.0,3.5,66.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
5.5284814690188915,5.525933759553911,5.708233638282899,45.0,3.5,65.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
7.0,8.0,8.0,32.0,3.5,70.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
3.0,3.0,4.0,37.0,3.5,60.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
5.0,6.0,5.0,38.0,3.5,67.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
2.0,5.0,2.0,42.0,3.5,67.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
9.0,10.0,9.0,40.0,3.5,66.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
8.0,4.0,8.0,28.0,3.5,69.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
8.0,7.0,8.0,42.0,3.5,59.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
3.0,3.0,3.0,45.0,3.5,52.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
5.0,4.0,5.0,35.0,3.5,69.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
5.0,4.0,5.0,39.0,3.5,67.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
7.0,9.0,7.0,39.0,3.5,59.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1
5.5284814690188915,5.525933759553911,5.708233638282899,38.0,3.5,68.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
4.0,4.0,4.0,39.0,3.5,69.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
7.0,8.0,7.0,39.0,3.5,68.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
4.0,2.0,4.0,39.0,3.5,51.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
7.0,5.0,7.0,34.0,3.5,68.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
1.0,3.0,1.0,46.0,3.5,66.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
5.0,6.0,6.0,45.0,3.5,69.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
2.0,1.0,2.0,41.0,3.5,69.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
3.0,5.0,3.0,32.0,3.5,61.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
10.0,10.0,10.0,37.0,3.5,69.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
8.0,8.0,8.0,42.0,3.5,69.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
9.0,7.0,9.0,29.0,3.5,67.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
5.0,5.0,6.0,34.0,3.5,69.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
10.0,10.0,10.0,40.0,3.5,68.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,41.0,3.5,69.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
9.0,10.0,9.0,44.0,3.5,68.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
5.5284814690188915,5.525933759553911,5.708233638282899,45.0,3.5,70.0,3.4660457545890226,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
6.0,4.0,6.0,36.0,3.5,69.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
10.0,10.0,10.0,31.0,3.5,66.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
2.0,3.0,2.0,32.5,3.5,67.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
4.0,6.0,4.0,40.0,3.5,70.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
7.0,6.0,7.0,36.0,3.5,69.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
4.0,8.0,5.0,41.0,3.5,51.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
7.0,8.0,8.0,33.0,3.5,69.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
5.0,4.0,5.0,32.0,3.5,68.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
7.0,9.0,7.0,44.0,3.5,67.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
5.0,7.0,5.0,42.0,3.5,68.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
9.0,8.0,9.0,39.0,3.5,69.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
4.0,5.0,5.0,48.0,3.5,68.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
9.0,7.0,9.0,42.0,3.5,69.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
7.0,7.0,7.0,38.0,3.5,69.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
8.0,9.0,8.0,39.0,3.5,60.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
10.0,10.0,10.0,42.0,3.5,65.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
5.0,4.0,5.0,46.0,3.5,67.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1
7.0,7.0,7.0,41.0,3.5,61.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
9.0,8.0,9.0,39.0,3.5,65.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
9.0,8.0,9.0,32.0,3.5,68.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1
5.5284814690188915,5.525933759553911,2.0,42.0,3.5,69.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
