,decile1b,decile3,ID,decile1,sex,lsat,ugpa,zfygpa,grad,zgpa,fulltime,fam_inc,age,gender,male,race1,other,pass_bar,bar,tier,gpa
30,2.0,5.0,392,3.0,2.0,39.0,3.5,-0.81,1,-0.07,1.0,3.0,-49.0,1.0,1.0,white,0,1,a Passed 1st time,4.0,3.5
31,9.0,7.0,393,9.0,2.0,48.0,3.5,1.26,1,0.37,1.0,3.0,-63.0,1.0,1.0,white,0,1,a Passed 1st time,6.0,3.5
32,6.0,4.0,401,6.0,2.0,37.0,3.5,0.23,1,-0.53,1.0,1.0,-61.0,1.0,1.0,white,0,1,a Passed 1st time,4.0,3.5
33,6.0,7.0,410,6.0,1.0,39.0,3.5,0.19,1,0.45,1.0,2.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
34,3.0,3.0,445,4.0,1.0,33.0,3.5,-0.48,1,-0.76,1.0,3.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
35,6.0,8.0,462,6.0,2.0,45.0,3.5,0.23,1,0.62,1.0,4.0,-60.0,1.0,1.0,white,0,1,a Passed 1st time,4.0,3.5
36,10.0,9.0,478,10.0,1.0,36.0,3.5,1.54,1,1.22,1.0,4.0,-58.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
37,10.0,10.0,482,10.0,2.0,44.0,3.5,2.65,1,1.73,1.0,4.0,-60.0,1.0,1.0,white,0,1,a Passed 1st time,5.0,3.5
38,1.0,1.0,485,1.0,2.0,30.5,3.5,-1.99,1,-2.17,1.0,4.0,-62.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
39,10.0,10.0,491,10.0,2.0,40.0,3.5,2.17,1,2.27,1.0,3.0,-48.0,1.0,1.0,white,0,1,a Passed 1st time,4.0,3.5
40,7.0,9.0,493,7.0,1.0,48.0,3.5,0.4,1,0.87,1.0,4.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,5.0,3.5
41,6.0,5.0,536,6.0,1.0,39.0,3.5,0.1,1,-0.06,1.0,3.0,-51.0,0.0,0.0,white,0,1,a Passed 1st time,5.0,3.5
42,9.0,10.0,580,9.0,1.0,31.0,3.5,1.21,1,1.49,2.0,3.0,-47.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
43,7.0,8.0,586,8.0,2.0,33.5,3.5,0.55,1,0.63,1.0,4.0,-62.0,1.0,1.0,white,0,1,a Passed 1st time,5.0,3.5
44,9.0,10.0,599,10.0,1.0,31.0,3.5,1.26,1,1.6,1.0,3.0,-61.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
45,2.0,3.0,602,2.0,2.0,32.0,3.5,-0.86,1,-0.65,1.0,4.0,-62.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
46,3.0,3.0,610,3.0,2.0,38.0,3.5,-0.56,1,-0.83,1.0,3.0,-59.0,1.0,1.0,white,0,1,a Passed 1st time,5.0,3.5
47,7.0,10.0,626,8.0,1.0,30.0,3.5,0.53,1,1.83,1.0,4.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
48,10.0,9.0,634,10.0,2.0,37.0,3.5,1.51,1,1.09,1.0,4.0,-61.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
49,4.0,4.0,642,4.0,1.0,32.0,3.5,-0.32,1,-0.31,1.0,4.0,-60.0,0.0,0.0,white,0,1,a Passed 1st time,5.0,3.5
50,5.5284814690188915,5.525933759553911,647,9.0,1.0,34.0,3.5,0.92,1,0.008756037503551469,1.0,3.0,-59.0,0.0,0.0,white,0,1,a Passed 1st time,5.0,3.5
51,6.0,6.0,657,6.0,2.0,35.0,3.5,0.26,1,0.26,1.0,4.0,-58.0,1.0,1.0,white,0,1,a Passed 1st time,4.0,3.5
52,9.0,10.0,692,9.0,1.0,44.0,3.5,1.14,1,1.34,1.0,4.0,-60.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
53,8.0,8.0,694,8.0,2.0,30.5,3.5,0.79,1,0.64,1.0,3.4660457545890226,-60.0,1.0,1.0,white,0,1,a Passed 1st time,5.0,3.5
54,1.0,2.0,726,1.0,1.0,32.0,3.5,-1.44,1,-0.93,1.0,3.0,-54.0,0.0,0.0,white,0,1,b Passed 2nd time,4.0,3.5
55,10.0,10.0,727,10.0,1.0,37.0,3.5,1.65,1,1.68,1.0,4.0,-63.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
56,1.0,3.0,735,2.0,1.0,28.0,3.5,-1.21,1,-0.87,1.0,4.0,-61.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
57,10.0,10.0,744,10.0,2.0,39.0,3.5,1.84,1,1.89,1.0,3.0,-59.0,1.0,1.0,white,0,1,a Passed 1st time,4.0,3.5
58,8.0,9.0,793,9.0,2.0,35.0,3.5,0.81,1,1.33,1.0,4.0,-59.0,1.0,1.0,white,0,1,a Passed 1st time,2.0,3.5
59,2.0,1.0,795,2.0,1.0,37.0,3.5,-0.83,1,-1.76,1.0,4.0,-68.0,0.0,0.0,black,0,1,a Passed 1st time,5.0,3.5
60,3.0,3.0,807,3.0,2.0,46.0,3.5,-0.6,1,-0.7,1.0,4.0,-60.0,1.0,1.0,white,0,1,a Passed 1st time,6.0,3.5
61,2.0,3.0,812,2.0,2.0,39.0,3.5,-0.99,1,-0.73,1.0,4.0,-59.0,1.0,1.0,white,0,1,a Passed 1st time,5.0,3.5
62,5.5284814690188915,5.525933759553911,823,5.708233638282899,2.0,33.0,3.5,0.08606777762218175,1,0.008756037503551469,1.0,3.0,-62.0,1.0,1.0,white,0,0,c Failed,2.0,3.5
63,5.0,7.0,842,6.0,1.0,43.0,3.5,0.06,1,0.3,1.0,3.0,-44.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
64,8.0,8.0,847,9.0,1.0,34.0,3.5,0.84,1,0.68,1.0,4.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
65,8.0,6.0,862,8.0,1.0,33.0,3.5,0.58,1,0.15,1.0,3.0,-61.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
66,10.0,10.0,879,10.0,1.0,43.0,3.5,2.0,1,1.97,1.0,4.0,-55.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
67,4.0,6.0,888,4.0,1.0,41.0,3.5,-0.28,1,0.25,1.0,3.0,-59.0,0.0,0.0,white,0,1,a Passed 1st time,6.0,3.5
68,5.5284814690188915,5.525933759553911,894,4.0,1.0,40.0,3.5,-0.25,1,0.008756037503551469,1.0,3.0,-57.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
69,8.0,6.0,918,8.0,1.0,33.0,3.5,0.58,1,0.05,1.0,2.0,-54.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
70,6.0,6.0,920,7.0,2.0,35.0,3.5,0.27,1,0.06,1.0,3.0,-60.0,1.0,1.0,white,0,1,a Passed 1st time,2.0,3.5
71,5.0,5.0,967,5.0,1.0,42.0,3.5,-0.11,1,-0.1,1.0,1.0,-61.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
72,7.0,7.0,1006,7.0,2.0,36.0,3.5,0.36,1,0.52,1.0,2.0,-58.0,1.0,1.0,asian,0,1,a Passed 1st time,4.0,3.5
73,2.0,4.0,1018,2.0,1.0,46.0,3.5,-1.16,1,-0.51,1.0,4.0,-47.0,0.0,0.0,white,0,1,a Passed 1st time,5.0,3.5
74,10.0,10.0,1054,10.0,1.0,38.0,3.5,1.61,1,1.68,1.0,3.0,-61.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
75,5.5284814690188915,5.525933759553911,1081,7.0,1.0,36.0,3.5,0.3,1,0.008756037503551469,1.0,4.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
76,2.0,4.0,1091,2.0,2.0,35.0,3.5,-0.98,1,-0.46,1.0,3.0,-61.0,1.0,1.0,white,0,1,b Passed 2nd time,2.0,3.5
77,5.0,4.0,1143,5.0,2.0,37.0,3.5,-0.1,1,-0.33,1.0,3.0,-59.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
78,7.0,7.0,1145,7.0,1.0,37.7,3.5,0.46,1,0.51,1.0,3.0,-55.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
79,6.0,4.0,1147,6.0,2.0,43.0,3.5,0.23,1,-0.44,1.0,4.0,-61.0,1.0,1.0,white,0,1,a Passed 1st time,5.0,3.5
80,6.0,6.0,1161,6.0,2.0,31.0,3.5,0.05,1,0.18,1.0,3.0,-63.0,1.0,1.0,hisp,0,1,a Passed 1st time,5.0,3.5
81,5.0,6.0,1178,5.0,1.0,42.0,3.5,-0.02,1,0.14,1.0,2.0,-47.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
82,4.0,7.0,1189,5.0,2.0,35.0,3.5,-0.22,1,0.41,2.0,3.0,-48.0,1.0,1.0,white,0,1,b Passed 2nd time,3.0,3.5
83,9.0,10.0,1191,9.0,2.0,43.5,3.5,1.19,1,1.31,1.0,5.0,-62.0,1.0,1.0,white,0,1,a Passed 1st time,5.0,3.5
84,6.0,7.0,1194,6.0,2.0,29.0,3.5,0.16,1,0.39,1.0,4.0,-62.0,1.0,1.0,white,0,1,a Passed 1st time,2.0,3.5
85,5.0,4.0,1200,6.0,1.0,38.0,3.5,0.05,1,-0.35,1.0,3.0,-42.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
86,6.0,7.0,1211,6.0,2.0,37.0,3.5,0.24,1,0.52,1.0,4.0,-62.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
87,7.0,6.0,1253,8.0,2.0,40.0,3.5,0.54,1,0.08,1.0,3.0,-55.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
88,2.0,4.0,1280,2.0,2.0,44.0,3.5,-0.95,1,-0.39,1.0,3.0,-62.0,1.0,1.0,white,0,1,b Passed 2nd time,6.0,3.5
89,2.0,1.0,1300,2.0,2.0,43.0,3.5,-1.06,1,-1.49,1.0,3.0,-60.0,1.0,1.0,white,0,1,a Passed 1st time,4.0,3.5
90,1.0,1.0,1343,1.0,2.0,37.0,3.5,-1.63,1,-1.47,1.0,3.4660457545890226,-61.0,1.0,1.0,black,0,1,b Passed 2nd time,5.0,3.5
91,10.0,9.0,1348,10.0,2.0,38.0,3.5,1.32,1,0.98,1.0,3.0,-59.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
92,7.0,6.0,1390,7.0,1.0,41.0,3.5,0.35,1,0.03,1.0,5.0,-63.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
93,6.0,9.0,1397,6.0,2.0,45.0,3.5,0.15,1,0.95,1.0,2.0,-49.0,1.0,1.0,white,0,0,c Failed,3.0,3.5
94,6.0,5.0,1399,7.0,2.0,32.5,3.5,0.28,1,-0.2,1.0,4.0,-61.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
95,5.0,5.0,1409,5.0,2.0,35.0,3.5,-0.07,1,-0.12,1.0,5.0,-62.0,1.0,1.0,white,0,1,a Passed 1st time,4.0,3.5
96,5.5284814690188915,5.525933759553911,1427,5.708233638282899,1.0,29.0,3.5,0.08606777762218175,1,0.008756037503551469,1.0,4.0,-59.0,0.0,0.0,white,0,0,c Failed,1.0,3.5
97,3.0,5.0,1460,3.0,1.0,32.0,3.5,-0.58,1,-0.07,1.0,4.0,-57.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
98,5.0,5.0,1462,6.0,1.0,39.0,3.5,0.02,1,-0.1,1.0,4.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
99,6.0,3.0,1466,6.0,2.0,40.0,3.5,0.14,1,-0.79,1.0,4.0,-54.0,1.0,1.0,white,0,1,a Passed 1st time,5.0,3.5
100,1.0,1.0,1525,1.0,2.0,45.0,3.5,-1.58,1,-1.89,1.0,4.0,-61.0,1.0,1.0,white,0,1,a Passed 1st time,6.0,3.5
101,8.0,9.0,1527,8.0,1.0,35.0,3.5,0.86,1,1.03,1.0,2.0,-57.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
102,5.0,4.0,1562,6.0,2.0,29.0,3.5,0.05,1,-0.42,1.0,3.0,-61.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
103,4.0,4.0,1566,4.0,2.0,46.0,3.5,-0.45,1,-0.37,1.0,5.0,-62.0,1.0,1.0,white,0,1,a Passed 1st time,5.0,3.5
104,4.0,4.0,1581,4.0,1.0,44.0,3.5,-0.24,1,-0.34,1.0,3.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
105,3.0,6.0,1583,3.0,1.0,40.0,3.5,-0.53,1,0.13,1.0,3.4660457545890226,-61.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
106,6.0,9.0,1593,6.0,1.0,42.0,3.5,0.24,1,1.29,1.0,4.0,-67.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
107,9.0,9.0,1596,9.0,1.0,32.0,3.5,0.96,1,1.06,1.0,4.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
108,3.0,3.0,1621,3.0,1.0,43.0,3.5,-0.66,1,-0.79,1.0,4.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,5.0,3.5
109,4.0,2.0,1625,4.0,1.0,30.5,3.5,-0.41,1,-0.93,1.0,3.0,-61.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
110,10.0,10.0,1634,10.0,1.0,35.0,3.5,1.43,1,1.53,1.0,1.0,-53.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
111,4.0,3.0,1636,4.0,2.0,34.0,3.5,-0.41,1,-0.65,1.0,3.0,-62.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
112,5.0,5.0,1678,6.0,1.0,38.0,3.5,0.09,1,-0.09,1.0,3.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
113,4.0,6.0,1698,4.0,1.0,33.0,3.5,-0.38,1,0.17,1.0,3.0,-63.0,0.0,0.0,white,0,1,a Passed 1st time,5.0,3.5
114,5.0,6.0,1729,5.0,2.0,36.0,3.5,-0.06,1,0.16,1.0,3.0,-58.0,1.0,1.0,white,0,1,a Passed 1st time,5.0,3.5
115,9.0,9.0,1738,9.0,2.0,41.0,3.5,1.0,1,1.09,1.0,4.0,-61.0,1.0,1.0,white,0,1,a Passed 1st time,5.0,3.5
116,8.0,9.0,1743,8.0,2.0,43.0,3.5,0.71,1,0.91,1.0,3.4660457545890226,-61.0,1.0,1.0,white,0,1,a Passed 1st time,4.0,3.5
117,8.0,10.0,1746,8.0,1.0,40.0,3.5,0.69,1,1.47,1.0,4.0,-53.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
118,6.0,8.0,1792,6.0,2.0,23.3,3.5,0.21,1,0.5,1.0,2.0,-61.0,1.0,1.0,black,0,1,a Passed 1st time,1.0,3.5
119,9.0,6.0,1812,9.0,1.0,42.0,3.5,1.0,1,0.03,1.0,4.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,5.0,3.5
120,10.0,10.0,1825,10.0,2.0,47.0,3.5,1.87,1,1.68,2.0,3.0,-55.0,1.0,1.0,white,0,1,a Passed 1st time,5.0,3.5
121,7.0,6.0,1873,8.0,2.0,43.0,3.5,0.61,1,0.07,1.0,5.0,-62.0,1.0,1.0,white,0,1,a Passed 1st time,4.0,3.5
122,5.5284814690188915,5.525933759553911,1874,5.708233638282899,1.0,34.0,3.5,0.08606777762218175,1,0.008756037503551469,1.0,3.0,-52.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
123,3.0,3.0,1876,3.0,2.0,30.0,3.5,-0.64,1,-0.84,1.0,4.0,-63.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
124,10.0,9.0,1888,10.0,1.0,38.0,3.5,1.4,1,1.05,1.0,4.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
125,2.0,3.0,1894,2.0,2.0,44.0,3.5,-1.07,1,-0.78,1.0,3.0,-55.0,1.0,1.0,white,0,1,a Passed 1st time,6.0,3.5
126,3.0,3.0,1897,3.0,2.0,43.0,3.5,-0.6,1,-0.57,1.0,4.0,-62.0,1.0,1.0,white,0,1,a Passed 1st time,6.0,3.5
127,4.0,4.0,1901,4.0,2.0,45.0,3.5,-0.38,1,-0.35,1.0,4.0,-66.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
128,5.5284814690188915,5.525933759553911,1915,5.708233638282899,2.0,33.0,3.5,0.08606777762218175,1,0.008756037503551469,1.0,3.0,-62.0,1.0,1.0,white,0,1,a Passed 1st time,6.0,3.5
129,5.0,3.0,1955,5.0,2.0,38.0,3.5,-0.07,1,-0.62,1.0,3.0,-49.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
130,8.0,7.0,1964,8.0,1.0,41.0,3.5,0.58,1,0.45,1.0,4.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
131,2.0,4.0,1995,2.0,2.0,37.0,3.5,-0.82,1,-0.52,1.0,3.0,-61.0,1.0,1.0,white,0,1,a Passed 1st time,4.0,3.5
132,4.0,3.0,2000,4.0,1.0,25.0,3.5,-0.26,1,-0.77,1.0,5.0,-60.0,0.0,0.0,white,0,0,c Failed,4.0,3.5
133,4.0,4.0,2004,5.0,1.0,40.0,3.5,-0.22,1,-0.37,1.0,3.0,-62.0,0.0,0.0,hisp,0,1,a Passed 1st time,4.0,3.5
134,5.0,6.0,2007,5.0,1.0,40.0,3.5,0.04,1,0.16,1.0,3.0,-60.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
135,2.0,2.0,2012,2.0,2.0,33.0,3.5,-0.95,1,-1.09,1.0,4.0,-61.0,1.0,1.0,white,0,1,b Passed 2nd time,4.0,3.5
136,5.5284814690188915,5.525933759553911,2022,3.0,2.0,48.0,3.5,-0.61,1,0.008756037503551469,1.0,5.0,-62.0,1.0,1.0,white,0,1,b Passed 2nd time,6.0,3.5
137,5.5284814690188915,5.525933759553911,2032,9.0,1.0,34.0,3.5,1.19,1,0.008756037503551469,1.0,3.0,-61.0,0.0,0.0,white,0,1,a Passed 1st time,5.0,3.5
138,8.0,9.0,2035,8.0,1.0,31.5,3.5,0.6,1,1.03,1.0,4.0,-59.0,0.0,0.0,white,0,1,a Passed 1st time,5.0,3.5
139,3.0,4.0,2036,3.0,1.0,33.0,3.5,-0.57,1,-0.36,1.0,3.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,5.0,3.5
140,10.0,10.0,2039,10.0,2.0,43.0,3.5,2.32,1,2.33,1.0,4.0,-60.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
141,7.0,8.0,2051,7.0,1.0,39.0,3.5,0.39,1,0.61,1.0,4.0,-59.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
142,7.0,8.0,2089,7.0,2.0,43.0,3.5,0.46,1,0.58,1.0,3.0,-62.0,1.0,1.0,white,0,1,a Passed 1st time,5.0,3.5
143,4.0,6.0,2118,4.0,1.0,39.0,3.5,-0.41,1,0.02,1.0,2.0,-49.0,0.0,0.0,white,0,1,a Passed 1st time,5.0,3.5
144,8.0,6.0,2128,8.0,2.0,44.0,3.5,0.64,1,0.22,1.0,5.0,-62.0,1.0,1.0,white,0,1,a Passed 1st time,6.0,3.5
145,3.0,3.0,2159,4.0,2.0,32.0,3.5,-0.47,1,-0.66,1.0,4.0,-67.0,1.0,1.0,white,0,1,a Passed 1st time,2.0,3.5
146,9.0,10.0,2176,9.0,1.0,35.0,3.5,1.0,1,1.55,1.0,3.0,-61.0,0.0,0.0,white,0,1,a Passed 1st time,2.0,3.5
147,5.5284814690188915,5.525933759553911,2184,5.0,2.0,39.5,3.5,-0.09,1,0.008756037503551469,1.0,2.0,-62.0,1.0,1.0,asian,0,1,a Passed 1st time,6.0,3.5
148,7.0,7.0,2200,7.0,1.0,42.0,3.5,0.53,1,0.54,1.0,3.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,6.0,3.5
149,5.0,3.0,2211,5.0,1.0,33.0,3.5,-0.14,1,-0.66,1.0,4.0,-62.0,0.0,0.0,hisp,0,1,a Passed 1st time,4.0,3.5
150,4.0,4.0,2236,4.0,1.0,26.0,3.5,-0.24,1,-0.36,1.0,1.0,-61.0,0.0,0.0,white,0,1,b Passed 2nd time,4.0,3.5
151,2.0,2.0,2238,2.0,1.0,39.0,3.5,-1.11,1,-0.92,1.0,4.0,-42.0,0.0,0.0,white,0,1,a Passed 1st time,4.0,3.5
152,10.0,10.0,2260,10.0,1.0,35.5,3.5,1.61,1,1.36,1.0,4.0,-62.0,0.0,0.0,white,0,1,a Passed 1st time,5.0,3.5
153,8.0,6.0,2278,8.0,2.0,33.0,3.5,0.66,1,0.14,1.0,3.0,-61.0,1.0,1.0,white,0,1,a Passed 1st time,4.0,3.5
154,5.5284814690188915,5.525933759553911,2296,4.0,2.0,41.0,3.5,-0.23,1,0.008756037503551469,1.0,4.0,-61.0,1.0,1.0,white,0,1,a Passed 1st time,6.0,3.5
155,10.0,10.0,2308,10.0,1.0,42.0,3.5,2.07,1,2.5,1.0,4.0,-59.0,0.0,0.0,white,0,1,a Passed 1st time,2.0,3.5
156,5.5284814690188915,5.525933759553911,2356,5.708233638282899,1.0,45.0,3.5,0.08606777762218175,1,0.008756037503551469,1.0,2.0,-58.0,0.0,0.0,white,0,1,a Passed 1st time,6.0,3.5
157,7.0,8.0,2360,8.0,2.0,32.0,3.5,0.59,1,0.58,1.0,2.0,-63.0,1.0,1.0,black,0,1,a Passed 1st time,1.0,3.5
158,3.0,3.0,2372,4.0,2.0,37.0,3.5,-0.49,1,-0.6,1.0,2.0,-53.0,1.0,1.0,white,0,1,a Passed 1st time,4.0,3.5
159,5.0,6.0,2383,5.0,2.0,38.0,3.5,-0.11,1,0.06,1.0,4.0,-60.0,1.0,1.0,white,0,1,a Passed 1st time,3.0,3.5
160,2.0,5.0,2386,2.0,1.0,42.0,3.5,-0.84,1,-0.28,1.0,4.0,-60.0,0.0,0.0,white,0,1,a Passed 1st time,3.0,3.5
161,9.0,10.0,2394,9.0,2.0,40.0,3.5,1.22,1,1.52,1.0,4.0,-59.0,1.0,1.0,white,0,1,a Passed 1st time,1.0,3.5
